,cpu_usage,memory_usage,network_receive_bytes,network_transmit_bytes,cpu_usage_diff,memory_usage_diff,network_receive_bytes_diff,network_transmit_bytes_diff,cpu_usage_rolling_mean,cpu_usage_rolling_std,memory_usage_rolling_mean,memory_usage_rolling_std,network_receive_bytes_rolling_mean,network_receive_bytes_rolling_std,network_transmit_bytes_rolling_mean,network_transmit_bytes_rolling_std,cpu_usage_lag1,memory_usage_lag1,network_receive_bytes_lag1,network_transmit_bytes_lag1,net_rx_tx_ratio,hour_of_day
2025-04-23 10:35:44,-1.9859452370376949,0.042038694778883334,-2.9319835936784533,-2.8212746236746744,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-2.035788679236224,-1.1465744043048425,-0.007937111671449434,-1.0442883651466512,-3.3234751754223493,-0.5481074521669226,-3.166832824528248,-0.5507060369682344,-1.953655867150269,0.03811287231904265,-2.8492311492489715,-2.746238028748808,0.1840264885829369,-0.9258200997725518
2025-04-23 10:35:59,-1.9859452370376949,0.042038694778883334,-2.9319835936784533,-2.8212746236746744,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-2.035788679236224,-1.1465744043048425,-0.007937111671449434,-1.0442883651466512,-3.3234751754223493,-0.5481074521669226,-3.166832824528248,-0.5507060369682344,-1.953655867150269,0.03811287231904265,-2.8492311492489715,-2.746238028748808,0.1840264885829369,-0.9258200997725518
2025-04-23 10:36:14,-1.9859452370376949,0.042038694778883334,-2.9319835936784533,-2.8212746236746744,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-2.035788679236224,-1.1465744043048425,-0.007937111671449434,-1.0442883651466512,-3.3234751754223493,-0.5481074521669226,-3.166832824528248,-0.5507060369682344,-1.953655867150269,0.03811287231904265,-2.8492311492489715,-2.746238028748808,0.1840264885829369,-0.9258200997725518
2025-04-23 10:36:29,-1.9859452370376949,0.042038694778883334,-2.9319835936784533,-2.8212746236746744,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-2.035788679236224,-1.1465744043048425,-0.007937111671449434,-1.0442883651466512,-3.3234751754223493,-0.5481074521669226,-3.166832824528248,-0.5507060369682344,-1.953655867150269,0.03811287231904265,-2.8492311492489715,-2.746238028748808,0.1840264885829369,-0.9258200997725518
2025-04-23 10:36:44,-1.9859452370376949,-0.039314533769029894,-2.9319835936784533,-2.8212746236746744,-0.04563183438937545,-0.34390245343783193,-0.028176172701352614,-0.029039519966744438,-2.035788679236224,-1.1465744043048425,-0.026321487461886995,-0.9172585715460608,-3.3234751754223493,-0.5481074521669226,-3.166832824528248,-0.5507060369682344,-1.953655867150269,0.03811287231904265,-2.8492311492489715,-2.746238028748808,0.1840264885829369,-0.9258200997725518
2025-04-23 10:36:59,-1.888496383390558,-0.039314533769029894,-2.7225159319047303,-2.6214008674297613,0.34433888969221116,0.017664643783469613,0.32473079250334147,0.332691912431207,-2.0182549592977423,-1.0422792729965795,-0.038577737988843855,-0.8976069940858449,-3.2819930313374295,-0.4340614305898079,-3.1276415741955654,-0.4379121228490164,-1.953655867150269,-0.04334455500126008,-2.8492311492489715,-2.746238028748808,0.18402648858741974,-0.9258200997725518
2025-04-23 10:37:14,-1.7910475297434192,-0.039314533769029894,-2.513048270131007,-2.421527111184849,0.3443388896922186,0.017664643783469613,0.3247307925033406,0.3326919124312058,-1.9907019708229856,-0.9455717977901834,-0.04733220265095817,-0.8924587215973835,-3.2168068049182694,-0.32831245970584394,-3.0660553236727774,-0.33332416638079143,-1.8572378190922163,-0.04334455500126008,-2.6445077767863316,-2.5505673981558186,0.18402648859086418,-0.9258200997725518
2025-04-23 10:37:29,-1.6935986760962827,-0.039314533769029894,-2.303580608357284,-2.221653354939936,0.344338889692209,0.017664643783469613,0.3247307925033406,0.3326919124312074,-1.9568869395130568,-0.8489610305575658,-0.0538980511475422,-0.8924587215973834,-3.1368055270402095,-0.22266923833794738,-2.990472198031174,-0.22884079840823232,-1.7608197710341618,-0.04334455500126008,-2.439784404323693,-2.3548967675628303,0.18402648859357412,-0.9258200997725518
2025-04-23 10:37:44,-1.8550584334091034,-0.039314533769029894,-2.650640594894773,-2.552817519203591,-0.6917613280960242,0.017664643783469613,-0.6128959597835024,-0.6283802725924966,-1.9499537170111603,-0.863637684534962,-0.05900482220044165,-0.894582317700477,-3.1204025654436083,-0.23871806032215595,-2.9749751067329573,-0.2447134209124503,-1.6644017229761094,-0.04334455500126008,-2.2350610318610546,-2.159226136969841,0.1840264885886924,-0.9258200997725518
2025-04-23 10:37:59,-1.8550584334091034,-0.039314533769029894,-2.650640594894773,-2.552817519203591,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-1.9444071390096433,-0.8764400621774299,-0.06309023904275984,-0.8976069940858449,-3.107280196166327,-0.25271737379476433,-2.9625774336943835,-0.25855903639049393,-1.824153572868563,-0.04334455500126008,-2.574260363581986,-2.4834262824450115,0.1840264885886924,-0.9258200997725518
2025-04-23 10:38:14,-0.7052355105620026,-0.40352781071004623,1.8797012623577734,1.6094616860990254,4.5557283767008405,-1.6010484627954968,7.604454003453851,7.503851477135542,-1.827022850692596,-0.1670452848968999,-0.10384453088777254,-0.6040399933856746,-2.6071777588360896,1.3345183830967664,-2.507266722548733,1.2451022890921137,-1.824153572868563,-0.04334455500126008,-2.574260363581986,-2.4834262824450115,1.5211852171684157,-0.9258200997725518
2025-04-23 10:38:29,-0.5594548937887988,-0.40352781071004623,2.3312617621630123,2.0214428937639806,0.5377528905450136,0.017664643783469613,0.7326040080824883,0.7165638807472249,-1.7160876459557652,0.17369557950935902,-0.13780644075861495,-0.4889853484334916,-2.145713103455716,1.9898541553539044,-2.087450487990919,1.8682761120770488,-0.6864933779650839,-0.40802432327916127,1.8534725646028423,1.5913247609470462,1.5788165335585123,-0.9258200997725518
2025-04-23 10:38:44,-0.4136742770155932,-0.40352781071004623,2.7828222619682528,2.4334241014289377,0.5377528905450206,0.017664643783469613,0.7326040080824902,0.716563880747228,-1.6101132747421774,0.4214801602629679,-0.1665434414185587,-0.42366331273787805,-1.713969818806008,2.4447436295834493,-1.6949376969622099,2.300405509463008,-0.5422548160127002,-0.40802432327916127,2.294805549409379,1.9946424561300262,1.6292368601115301,-0.9258200997725518
2025-04-23 10:38:59,-0.26789366024239064,-0.40352781071004623,3.234382761773492,2.845405309093894,0.5377528905450084,0.017664643783469613,0.7326040080824883,0.7165638807472264,-1.5080367012968525,0.6225710828226388,-0.19117515626993936,-0.38349034592213777,-1.305579039730394,2.799971061883315,-1.3238776115635127,2.637494793782585,-0.39801625406031477,-0.40802432327916127,2.7361385342159172,2.3979601513130078,1.673719900666366,-0.9258200997725518
2025-04-23 10:39:14,-0.46682797023414513,-0.32030265379773476,-0.04834405921785008,0.07010620857810193,-0.8417269551495208,0.3875513580255397,-5.558849261722458,-5.051774559439312,-1.4338878317840076,0.6953378932245545,-0.2062535097585986,-0.3824509184257295,-1.211679638998431,2.7039000581203827,-1.2199644866423025,2.5576988622265504,-0.25377769210793233,-0.40802432327916127,3.177471519022454,2.8012778464959887,-1.404859386719956,-0.9258200997725518
2025-04-23 10:39:29,-0.09060477840746597,-0.32030265379773476,0.7111900922326299,0.8204975338285688,1.4599377545992795,0.017664643783469613,1.2514719127738443,1.3290183563721698,-1.3436227466410275,0.8371645908868401,-0.2194470690611771,-0.38442390170213836,-1.0731119904468838,2.6546309438945666,-1.0738642222659958,2.529799801668218,-0.450607692085506,-0.3246925699927786,-0.030903940827220193,0.08434023905608279,-1.4125244359558866,-0.9258200997725518
2025-04-23 10:39:44,-0.09060477840746597,-0.32030265379773476,0.7116667932910788,0.8412650151361623,-0.04563183438937545,0.017664643783469613,-0.027373036205615972,0.008545458180603873,-1.2639770832795747,0.933134286609219,-0.23108844491639158,-0.3883873133235397,-0.9508130991420028,2.604154411491792,-0.9435150166967712,2.4980933573175013,-0.07836415681058392,-0.3246925699927786,0.7114273177011886,0.8189516585930823,-1.6010675689005764,-0.9258200997725518
2025-04-23 10:39:59,-0.09060477840746597,-0.32030265379773476,0.7121434943495267,0.8620324964437549,-0.04563183438937545,0.017664643783469613,-0.027373036205617787,0.008545458180602308,-1.1931809380693943,0.9988337533064142,-0.2414363345654739,-0.39367000464243446,-0.8420715055426774,2.553565165531677,-0.8262916934667821,2.4642341960962733,-0.07836415681058392,-0.3246925699927786,0.7118932218293762,0.8392824225694477,-1.7880487988176987,-0.9258200997725518
2025-04-23 10:40:14,-0.3300956005962762,-0.11449428955860429,0.49135481853520063,0.6657639765640967,-1.0040259646892205,0.9323613825610911,-0.4001565579952281,-0.3842461972440746,-1.1434446913824685,1.0038267077714138,-0.23845575890353862,-0.41072771548020615,-0.7585840100351292,2.493724446427469,-0.7335606154747746,2.4175297706612686,-0.07836415681058392,-0.3246925699927786,0.7123591259575628,0.8596131865458124,-2.011878514040753,-0.9258200997725518
2025-04-23 10:40:29,-0.3300956005962762,-0.11449428955860429,0.5216185313666718,0.708507580190954,-0.04563183438937545,0.017664643783469613,0.02281153089328694,0.048317834276638695,-1.0986820693642356,1.0021831039261913,-0.2357732408077996,-0.4265124702465933,-0.6816472724185414,2.4376741022732844,-0.6475882952722423,2.3734676889816293,-0.31532166568879827,-0.11862060246114235,0.496571152140884,0.6674719781555148,-2.1294444568667963,-0.9258200997725518
2025-04-23 10:40:44,-0.23072210406949664,-0.11449428955860429,4.6310464103699145,4.783624600204888,0.35204092362367645,0.017664643783469613,6.895306474816901,7.346105394169169,-1.0039382431686594,0.9920213008794817,-0.24461665507366356,-0.4475649337405712,-0.23232154210307107,2.7463504437566253,-0.20023765529224616,2.73575540271645,-0.31532166568879827,-0.11862060246114235,0.5261494140149888,0.7093167307264107,-1.9007503696827517,-0.9258200997725518
2025-04-23 10:40:59,-0.23072210406949664,-0.11449428955860429,4.710193101567575,4.893448611177463,-0.04563183438937545,0.017664643783469613,0.10516860405340989,0.1697199247305326,-0.9091944169730828,0.9554687505946238,-0.2534600693395275,-0.47075674768130116,0.2217063571586283,2.9625963614774915,0.2535732730028775,2.9953169975879113,-0.21699933345788167,-0.11862060246114235,4.542501757654269,4.698738513890822,-2.0573862605550155,-0.9258200997725518
2025-04-23 10:41:14,-0.5052272665758955,-0.1772881913897468,3.671473797375838,3.7800377768343503,-1.1441463164004106,-0.261417197386655,-1.7781898704616508,-2.0440899373953343,-0.829267891733604,0.8669139993804855,-0.2658510585118145,-0.4992170669347532,0.6140231023327618,2.9894379553176305,0.6418889153460119,3.037804521719804,-0.21699933345788167,-0.11862060246114235,4.61985583419305,4.806253046488705,-1.6324507116347602,-0.9258200997725518
2025-04-23 10:41:29,-0.5052272665758955,-0.1772881913897468,3.733850869384664,3.865921307196849,-0.04563183438937545,0.017664643783469613,0.07691548199410725,0.12639245390056164,-0.7493413664941252,0.7535249847163327,-0.27824204768409916,-0.5322527645764613,1.0100457198120807,2.9633206746697605,1.0352565710216535,3.0263601864318295,-0.48860080397454536,-0.18149493192375246,3.6046627624057077,3.7162560195752334,-1.7707527021571152,-0.9258200997725518
2025-04-23 10:41:44,-1.4957687405436813,-0.1772881913897468,0.21583336874906678,0.7115312875840726,-4.009579704261604,0.017664643783469613,-5.955262335659871,-5.737853130985136,-0.7228825101147371,0.6618431644239908,-0.286036942908775,-0.5484738455831991,1.197060071835682,2.777843959324702,1.2430703682596511,2.8330523350951804,-0.48860080397454536,-0.18149493192375246,3.6656270393631054,3.800333513585956,-5.036334777167809,-0.9258200997725518
2025-04-23 10:41:59,-1.4260874366277487,-0.1772881913897468,0.49924817828342843,1.0120930456523765,0.23321873722885353,0.017664643783469613,0.4493154815229787,0.5149170119596984,-0.6979224967349633,0.5766838684526439,-0.2938318381334508,-0.5665204461972864,1.3884676837239833,2.5850355550156525,1.4568070371528792,2.6301461859228996,-1.4686644154598953,-0.18149493192375246,0.22729006164518245,0.7122768528727881,-5.012406804084293,-0.9258200997725518
2025-04-23 10:42:14,-1.2985077606687911,-0.15881532787687438,0.8112717405598738,1.2698118482918486,0.4649163839812835,0.0997656219122092,0.49751494115797795,0.4373798508706605,-0.6713360751005224,0.490756144450908,-0.3005830991016634,-0.5853316873900807,1.5859682246191618,2.38310455255697,1.673946383420585,2.415525191643386,-1.3997201943811945,-0.18149493192375246,0.5042857330649011,1.0065181271564363,-4.411293414705008,-0.9258200997725518
2025-04-23 10:42:29,-1.2985077606687911,-0.15881532787687438,0.8611025925937619,1.300874280425976,-0.04563183438937545,0.017664643783469613,0.0557778592285994,0.02717725546561336,-0.6500097694476268,0.4208439066578544,-0.3073343600698737,-0.6059916415356646,1.773984613516637,2.173459564105545,1.8811555712925427,2.186738286324643,-1.273490045257188,-0.1629984080136848,0.8092421899047388,1.258817386326531,-4.240053314946352,-0.9258200997725518
2025-04-23 10:42:44,-1.2985077606687911,-0.15881532787687438,0.9075382022057253,1.3198625476013268,-0.04563183438937545,0.017664643783469613,0.0500576220850256,0.005325437259947276,-0.6199681529621089,0.30225402971224785,-0.3140856210380863,-0.628775980265601,1.985378894082019,1.873132341867199,2.1089621280031206,1.8562359844296001,-1.273490045257188,-0.1629984080136848,0.8579444095919213,1.2892266096164013,-4.0026773441986006,-0.9258200997725518
2025-04-23 10:42:59,-1.2985077606687911,-0.15881532787687438,0.9531009260419204,1.338824234824711,-0.04563183438937545,0.017664643783469613,0.048587001429367796,0.005277332875066725,-0.5899265364765911,0.1687975125613169,-0.32083688200629884,-0.6540566336824017,2.1994800929264366,1.4994928899182336,2.3378840871226942,1.4343122398158663,-1.273490045257188,-0.1629984080136848,0.9033282866143756,1.3078155743803215,-3.7740081875742924,-0.9258200997725518
2025-04-23 10:43:14,-1.0668199244777228,0.4877435413940502,0.4997815050920247,0.6182370898064473,0.8815363144273379,2.8912373060815986,-0.791919748970391,-1.3331578045884198,-0.6094442207092098,0.19150546937348836,-0.270484032584095,-0.3782564410672113,2.117497943922891,1.5302921861025258,2.2795762852095494,1.4701001903972093,-1.273490045257188,-0.1629984080136848,0.9478590480853563,1.3263785181394827,-1.4748439815598007,-0.9258200997725518
2025-04-23 10:43:29,-1.0668199244777228,0.4877435413940502,0.5285012687594368,0.6376484815194272,-0.04563183438937545,0.017664643783469613,0.020210315940560955,0.006091207854120501,-0.6368308836254033,0.20999377564879093,-0.22013118316189115,-0.21727675233454663,2.0103944847472897,1.5442254573382506,2.1981759539632737,1.500448432823727,-1.0442529830622242,0.48438858623344644,0.5048069804114176,0.6209445296464886,-1.388051149961372,-0.9258200997725518
2025-04-23 10:43:44,-1.0668199244777228,0.4877435413940502,0.5572210324268495,0.6570598732324062,-0.04563183438937545,0.017664643783469613,0.02021031594056186,0.006091207854118937,-0.6720865252251715,0.2158722608828186,-0.16977833373968956,-0.10976717451428233,1.8781697153996344,1.5273622829064408,2.0936830933838664,1.513410242547135,-1.0442529830622242,0.48438858623344644,0.5328762624406121,0.639947721103561,-1.3019590112691992,-0.9258200997725518
2025-04-23 10:43:59,-1.0668199244777228,0.4877435413940502,0.5833374178324588,0.6764712649453861,-0.04563183438937545,0.017664643783469613,0.015824195840336553,0.006091207854120501,-0.7152111455085145,0.19979175507634037,-0.11942548431748569,-0.03843376932400128,1.7206689670715023,1.4630622423425308,1.9660977034713276,1.4958960777429402,-1.0442529830622242,0.48438858623344644,0.5609455444698074,0.6589509125606327,-1.2412438861381627,-0.9258200997725518
2025-04-23 10:44:14,-0.8588757176697741,0.5032853022947702,-0.007225243244021889,-0.0674155237261796,0.7865190823479538,0.08673860034158307,-1.023144439969486,-1.3753254889878832,-0.7363731863600361,0.18819306778072808,-0.07289644437789176,0.026472190321942375,1.7231118691897354,1.4604922256569108,1.9580081242216378,1.5062556660641204,-1.0442529830622242,0.48438858623344644,0.5864704128504267,0.6779541040177051,0.6179671397332117,-0.9258200997725518
2025-04-23 10:44:29,-0.8588757176697741,0.5032853022947702,-0.007225243244021889,-0.0674155237261796,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.7778430866669499,0.11833256281701543,-0.026367404438300112,0.06827262440015636,1.680430232979104,1.491895871055645,1.905777520915749,1.5549961797051552,-0.8385083921817392,0.49995025331902876,0.009283564043704638,-0.05028956220330034,0.6179671397332117,-0.9258200997725518
2025-04-23 10:44:44,-0.8588757176697741,0.5032853022947702,-0.007225243244021889,-0.0674155237261796,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.8193129869738642,0.0353836786809301,0.020161635501291544,0.08952591985747917,1.6377202755729854,1.5216680191639458,1.8523252911582508,1.601388489018179,-0.8385083921817392,0.49995025331902876,0.009283564043704638,-0.05028956220330034,0.6179671397332117,-0.9258200997725518
2025-04-23 10:44:59,-0.8588757176697741,0.5032853022947702,-0.007225243244021889,-0.0674155237261796,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.860782887280778,-0.06365703537789562,0.06669067544088547,0.09138623587319082,1.5949819969713765,1.5498758242474002,1.7976514349491413,1.6454320343659692,-0.8385083921817392,0.49995025331902876,0.009283564043704638,-0.05028956220330034,0.6179671397332117,-0.9258200997725518
2025-04-23 10:45:14,-0.5678288080209097,0.6061894844143354,-0.10913644800947536,-0.1443976494673667,1.119079394625788,0.47501301317228034,-0.19987415075479345,-0.168361735832228,-0.873615303434653,-0.10037208935063031,0.10740608884019999,0.1391378384341651,1.559306325085398,1.576533596021059,1.7499944823422766,1.6865091349708814,-0.8385083921817392,0.49995025331902876,0.009283564043704638,-0.05028956220330034,0.38372522613055055,-0.9258200997725518
2025-04-23 10:45:29,-0.5678288080209097,0.6061894844143354,-0.10913644800947536,-0.1443976494673667,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.8864477195885283,-0.13943776747585213,0.1481215022395145,0.17140631852466065,1.521832661539623,1.6029194119976344,1.699823179725686,1.7265840726684873,-0.5505401517005808,0.6029862370848469,-0.09031942648307195,-0.1256528383590225,0.38372522613055055,-0.9258200997725518
2025-04-23 10:45:44,-0.5678288080209097,0.6061894844143354,-0.10913644800947536,-0.1443976494673667,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.904644140527059,-0.20585302493375066,0.18883691563882904,0.18940720230771008,1.2402145635643274,1.331282579316261,1.4099371677843053,1.4663488544950813,-0.5505401517005808,0.6029862370848469,-0.09031942648307195,-0.1256528383590225,0.38372522613055055,-0.9258200997725518
2025-04-23 10:45:59,-0.5678288080209097,0.6061894844143354,-0.10913644800947536,-0.1443976494673667,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.9228405614655901,-0.27969574796144203,0.22955232903814585,0.19376298559420047,0.9538942966428012,0.9241960087903679,1.1135908675277983,1.0673072229132583,-0.5505401517005808,0.6029862370848469,-0.09031942648307195,-0.1256528383590225,0.38372522613055055,-0.9258200997725518
2025-04-23 10:46:14,-0.20892510492449817,0.7247737685608578,-0.12197560637844723,-0.15761864481461083,1.3906286420947653,0.5447018144062935,-0.04980733226750529,-0.0529668712835684,-0.9068466972225862,-0.20952348050345185,0.28051479959400977,0.1932805680404104,0.7285223990244805,0.5982709962785714,0.8819621413094663,0.7731638822635777,-0.5505401517005808,0.6029862370848469,-0.09031942648307195,-0.1256528383590225,0.3960365744970255,-0.9258200997725518
2025-04-23 10:46:29,-0.20892510492449817,0.7247737685608578,-0.12197560637844723,-0.15761864481461083,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.8908528329795821,-0.14583740335771578,0.3314772701498737,0.1715129906152805,0.4994446291009717,-0.01323170688932435,0.645281401758628,0.26941656498011496,-0.19543290109435904,0.7217224062524473,-0.10286778730698395,-0.1385958106894786,0.3960365744970255,-0.9258200997725518
2025-04-23 10:46:44,-0.20892510492449817,0.7247737685608578,-0.12197560637844723,-0.15761864481461083,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.8213912998764874,-0.1270028732668047,0.3824397407057377,0.1272744218688872,0.4793751246331816,0.0001977137692052442,0.5941545206454327,0.2821405507747935,-0.19543290109435904,0.7217224062524473,-0.10286778730698395,-0.1385958106894786,0.3960365744970255,-0.9258200997725518
2025-04-23 10:46:59,-0.20892510492449817,0.7247737685608578,-0.12197560637844723,-0.15761864481461083,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.7556910397553233,-0.12135551385270799,0.43340221126160167,0.05786232606165849,0.4424677170752155,0.0069775025179673635,0.5253473927772015,0.2706284831740871,-0.19543290109435904,0.7217224062524473,-0.10286778730698395,-0.1385958106894786,0.3960365744970255,-0.9258200997725518
2025-04-23 10:47:14,-0.13594468618901795,0.9419823062339796,-0.003506665996951414,-0.056777509058133044,0.24642113158093013,0.9830284266344556,0.17141795016718345,0.15346272128362665,-0.69293795053205,-0.09947983903975839,0.4955923595075305,0.013006505087214359,0.3940610728631122,-0.019316264116146006,0.4473120920413662,0.21643507067700984,-0.19543290109435904,0.7217224062524473,-0.10286778730698395,-0.1385958106894786,0.5337745947628111,-0.9258200997725518
2025-04-23 10:47:29,-0.13594468618901795,0.9419823062339796,-0.003506665996951414,-0.056777509058133044,-0.04563183438937545,0.017664643783469613,-0.028176172701352614,-0.029039519966744438,-0.6301848613087767,-0.1011788127407761,0.5577825077534571,-0.07307259741099922,0.3426939374232382,-0.059693027250049026,0.3674495746014745,0.14055297070681563,-0.12322446294880594,0.9392091487784314,0.012917918236312534,-0.03987525330421937,0.5337745947628111,-0.9258200997725518
