namespace,minikube_k8s_io_name,id,pod,beta_kubernetes_io_os,minikube_k8s_io_version,minikube_k8s_io_updated_at,kubernetes_io_arch,minikube_k8s_io_primary,__name__,instance,cpu,beta_kubernetes_io_arch,kubernetes_io_hostname,job,kubernetes_io_os,minikube_k8s_io_commit,timestamp,pod_cpu_usage,pod_memory_usage
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:44:57,0.0010553907441939,57110528
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:45:12,0.0010553907441939,57110528
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:45:27,0.001038646799474,57102336
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:45:42,0.001068383123982,57102336
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:45:57,0.001068383123982,57102336
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:46:12,0.001068383123982,57102336
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:46:27,0.000920227320062,57102336
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:46:42,0.0009957186908028,57425920
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:46:57,0.0009957186908028,57425920
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:47:12,0.0009957186908028,57425920
