,cpu_usage,memory_usage,network_receive_bytes,network_transmit_bytes
2025-04-23 11:38:41,0.005456845238095221,0.0,0.0,0.0
2025-04-23 11:38:56,0.005456845238095221,0.0,0.0,0.0
2025-04-23 11:39:11,0.005912202380952345,0.0,0.0,0.0
2025-04-23 11:39:26,0.005912202380952345,0.0,0.0,0.0
2025-04-23 11:39:41,0.005912202380952345,0.0,0.0,0.0
2025-04-23 11:39:56,0.005912202380952345,0.0,0.0,0.0
2025-04-23 11:40:11,0.007142361111111093,0.0,0.0,0.0
2025-04-23 11:40:26,0.007142361111111093,0.0,0.0,0.0
2025-04-23 11:40:41,0.007142361111111093,0.0,0.0,0.0
2025-04-23 11:40:56,0.007142361111111093,0.0,0.0,0.0
2025-04-23 11:41:11,0.009529226167906813,0.0,0.0,0.0
2025-04-23 11:41:26,0.009529226167906813,0.0,0.0,0.0
2025-04-23 11:41:41,0.009529226167906813,0.0,0.0,0.0
2025-04-23 11:41:56,0.009529226167906813,0.0,0.0,0.0
2025-04-23 11:42:11,0.010370535714285676,0.0,0.0,0.0
2025-04-23 11:42:26,0.010370535714285676,0.0,0.0,0.0
2025-04-23 11:42:41,0.010370535714285676,0.0,0.0,0.0
2025-04-23 11:42:56,0.010370535714285676,0.0,0.0,0.0
2025-04-23 11:43:11,0.011093796224150925,0.0,0.0,0.0
2025-04-23 11:43:26,0.011093796224150925,0.0,0.0,0.0
2025-04-23 11:43:41,0.011093796224150925,0.0,0.0,0.0
2025-04-23 11:43:56,0.011093796224150925,0.0,0.0,0.0
2025-04-23 11:44:11,0.011204365079365041,0.0,0.0,0.0
2025-04-23 11:44:26,0.011204365079365041,0.0,0.0,0.0
2025-04-23 11:44:41,0.011204365079365041,0.0,0.0,0.0
2025-04-23 11:44:56,0.011204365079365041,0.0,0.0,0.0
2025-04-23 11:45:11,0.009545178660466605,0.0,0.0,0.0
2025-04-23 11:45:26,0.009545178660466605,0.0,0.0,0.0
2025-04-23 11:45:41,0.009545178660466605,0.0,0.0,0.0
2025-04-23 11:45:56,0.009545178660466605,0.0,0.0,0.0
2025-04-23 11:46:11,0.01039930555555553,0.0,0.0,0.0
2025-04-23 11:46:26,0.01039930555555553,0.0,0.0,0.0
2025-04-23 11:46:41,0.01039930555555553,0.0,0.0,0.0
2025-04-23 11:46:56,0.01039930555555553,0.0,0.0,0.0
2025-04-23 11:47:11,0.009698908730158714,0.0,0.0,0.0
2025-04-23 11:47:26,0.009698908730158714,0.0,0.0,0.0
2025-04-23 11:47:41,0.009698908730158714,0.0,0.0,0.0
2025-04-23 11:47:56,0.009698908730158714,0.0,0.0,0.0
2025-04-23 11:48:11,0.009614583333333308,0.0,0.0,0.0
2025-04-23 11:48:26,0.009614583333333308,0.0,0.0,0.0
2025-04-23 11:48:41,0.009614583333333308,0.0,0.0,0.0
2025-04-23 11:48:56,0.009614583333333308,0.0,0.0,0.0
2025-04-23 11:49:11,0.01047465873654095,0.0,0.0,0.0
2025-04-23 11:49:26,0.01047465873654095,0.0,0.0,0.0
2025-04-23 11:49:41,0.01047465873654095,0.0,0.0,0.0
2025-04-23 11:49:56,0.01047465873654095,0.0,0.0,0.0
2025-04-23 11:50:11,0.009987557591525883,0.0,0.0,0.0
2025-04-23 11:50:26,0.009987557591525883,0.0,0.0,0.0
2025-04-23 11:50:41,0.009987557591525883,0.0,0.0,0.0
2025-04-23 11:50:56,0.009987557591525883,0.0,0.0,0.0
2025-04-23 11:51:11,0.01167157835255048,0.0,0.0,0.0
2025-04-23 11:51:26,0.01167157835255048,0.0,0.0,0.0
2025-04-23 11:51:41,0.01167157835255048,0.0,0.0,0.0
2025-04-23 11:51:56,0.01167157835255048,0.0,0.0,0.0
2025-04-23 11:52:11,0.011274801587301559,0.0,0.0,0.0
2025-04-23 11:52:26,0.011274801587301559,0.0,0.0,0.0
2025-04-23 11:52:41,0.011274801587301559,0.0,0.0,0.0
